key / text

Test|EnTest
Map|Map
Launguage|Launguage
Loading|Loading
Play|Play
Save|Save
Settings|Settings
Profile|Profile
Arena|Arena
Event|Event
Heart|Heart
Ticket|Ticket
Shop|Shop
Message|Message
HeartHeading|Get More Health
HeartText|Ask your friends for more health
To ask|To ask
Info|Info
Ok|Ok
Achivements|Achivements
Go|Go
Time|Time
KingBattle|King battle
LevelInfo|Level info
Exit|Exit
YouLose|You lose
Restart|Restart
Yes|Yes
ExitLevelText|You want to exit the game?
Soon|Soon
ComingSoon|Coming Soon
