key / text

Test|RuTestTest
Map|Карта
Launguage|Язык
Loading|Загрузка
Play|Играть
Save|Сохранить
Settings|Настройки
Profile|Профиль
Arena|Арена
Event|События
Heart|Жизни
Ticket|Билеты
Shop|Магазин
Message|Сообщения
HeartHeading|Получите больше жизней
HeartText|Попросите жизни у ваших друзей
To ask|Попросить
Info|Информация
Ok|Далее
Achivements|Достижения
Go|Поехали
Time|Время
KingBattle|Королевская битва
LevelInfo|Информация о уровне
Exit|Выход
YouLose|Вы проиграли
Restart|Заново
Yes|Да
ExitLevelText|Вы хотите выйти из игры?
Soon|Скоро
ComingSoon|Выйдет в последующих обновлениях
